あば	a̠ b a̠
はいぐうしゃ	h a̠ i ɡ ɯ̟ᵝː ɕ a̠
はやしらいす	h a̠ j a̠ ɕ i ɾ a̠ i s ɨᵝ
はくひしょう	h a̠ k ɯ̟ᵝ ç i ɕ o̞ː
はくとうおう	h a̠ k ɯ̟ᵝ t o̞ː o̞ː
はくらんかい	h a̠ k ɯ̟ᵝ ɾ ã̠ ŋ k a̠ i
はくげきほう	h a̠ k ɯ̟ᵝ ɡ e̞ kʲ i h o̞ː
はくせきれい	h a̠ k ɯ̟̊ᵝ s e̞ kʲ i ɾ e̞ː
はくとうわし	h a̠ k ɯ̟̊ᵝ t o̞ː ɰᵝ a̠ ɕ i
はくちょうざ	h a̠ k ɯ̟̊ᵝ t͡ɕ o̞ː z a̠
はくちゅうむ	h a̠ k ɯ̟̊ᵝ t͡ɕ ɨᵝː m ɯ̟ᵝ
はなればなれ	h a̠ n a̠ ɾ e̞ b a̠ n a̠ ɾ e̞
はっぽうしゅ	h a̠ p̚ p o̞ː ɕ ɨᵝ
はすうしょり	h a̠ s ɨᵝː ɕ o̞ ɾʲ i
はたらきもの	h a̠ t a̠ ɾ a̠ kʲ i m o̞ n o̞
はつたいけん	h a̠ t͡s ɨᵝ t a̠ i k ẽ̞ ɴ
はつかねずみ	h a̠ t͡s ɨ̥ᵝ k a̠ n e̞ z ɨᵝ mʲ i
はちぶんぎざ	h a̠ t͡ɕ i b ɯ̟̃ᵝ ŋʲ ɡʲ i z a̠
はちゅうるい	h a̠ t͡ɕ ɨᵝː ɾ ɯ̟ᵝ i
はらだたしい	h a̠ ɾ a̠ d a̠ t a̠ ɕ iː
はらいもどし	h a̠ ɾ a̠ i m o̞ d o̞ ɕ i
はしょうふう	h a̠ ɕ o̞ː ɸ ɯ̟ᵝː
はしゅつじょ	h a̠ ɕ ɨᵝ t͡s ɨᵝ ʑ o̞
はるつげぐさ	h a̠ ɾ ɯ̟ᵝ t͡s ɨᵝ ɡ e̞ ɡ ɯ̟ᵝ s a̠
はんばいいん	h ã̠ m b a̠ i ĩ ɴ
はんばいてん	h ã̠ m b a̠ i t ẽ̞ ɴ
はんばいしゃ	h ã̠ m b a̠ i ɕ a̠
はんぶっしつ	h ã̠ m b ɯ̟ᵝ ɕː i̥ t͡s ɨᵝ
はんだくてん	h ã̠ n d a̠ k ɯ̟̊ᵝ t ẽ̞ ɴ
はんざいがく	h ã̠ n d͡z a̠ i ɡ a̠ k ɯ̟ᵝ
はんたいせい	h ã̠ n t a̠ i s e̞ː
はんとうめい	h ã̠ n t o̞ː m e̞ː
はんりゅうし	h ã̠ n ɾʲ ɨᵝː ɕ i
はんしゃてき	h ã̠ ɰ̃ ɕ a̠ t e̞ kʲ i
へびくいわし	h e̞ bʲ i k ɯ̟ᵝ i ɰᵝ a̠ ɕ i
へびつかいざ	h e̞ bʲ i t͡s ɨ̥ᵝ k a̠ i z a̠
へいばんしき	h e̞ː b ã̠ ɰ̃ ɕ i kʲ i
へいきしょう	h e̞ː kʲ i ɕ o̞ː
へんとうえん	h ẽ̞ n t o̞ː ẽ̞ ɴ
へんとうせん	h ẽ̞ n t o̞ː s ẽ̞ ɴ
へんとうたい	h ẽ̞ n t o̞ː t a̠ i
へいがっこう	h e̞ː ɡ a̠ k̚ k o̞ː
へんしつしゃ	h ẽ̞ ɰ̃ ɕ i t͡s ɨᵝ ɕ a̠
ほほじろざめ	h o̞ h o̞ ʑ i ɾ o̞ z a̠ m e̞
ほくしんろん	h o̞ k ɯ̟ᵝ ɕ ĩ n ɾ õ̞ ɴ
ほっかいどう	h o̞ k̚ k a̠ i d o̞ː
ほねおりぞん	h o̞ n e̞ o̞ ɾʲ i z õ̞ ɴ
ほったらかす	h o̞ t̚ t a̠ ɾ a̠ k a̠ s ɨᵝ
ほしゃくきん	h o̞ ɕ a̠ k ɯ̟ᵝ kʲ ĩ ɴ
ほうぶつせん	h o̞ː b ɯ̟ᵝ t͡s ɨᵝ s ẽ̞ ɴ
ほうほうろん	h o̞ː h o̞ː ɾ õ̞ ɴ
ほうかいせき	h o̞ː k a̠ i s e̞ kʲ i
ほうけんてき	h o̞ː k ẽ̞ n t e̞ kʲ i
ほうこくしょ	h o̞ː k o̞ k ɯ̟ᵝ ɕ o̞
ほうこくしゃ	h o̞ː k o̞ k ɯ̟̊ᵝ ɕ a̠
ほうこうせい	h o̞ː k o̞ː s e̞ː
ほうていしき	h o̞ː t e̞ː ɕ i̥ kʲ i
ほうしゃのう	h o̞ː ɕ a̠ n o̞ː
ほうげんがく	h o̞ː ɡ ẽ̞ ŋ ɡ a̠ k ɯ̟ᵝ
ほうれんそう	h o̞ː ɾ ẽ̞ ɰ̃ s o̞ː
ほおじろざめ	h o̞ː ʑ i ɾ o̞ z a̠ m e̞
いばらきべん	i b a̠ ɾ a̠ kʲ i b ẽ̞ ɴ
いばらきけん	i b a̠ ɾ a̠ kʲ i k ẽ̞ ɴ
いかがわしい	i k a̠ ɡ a̠ ɰᵝ a̠ ɕ iː
いくせいそう	i k ɯ̟ᵝ s e̞ː s o̞ː
いきようよう	i kʲ i j o̞ː j o̞ː
いもうとぶん	i m o̞ː t o̞ b ɯ̟̃ᵝ ɴ
いのちびろい	i n o̞ t͡ɕ i bʲ i ɾ o̞ i
いっぱんじん	i p̚ p ã̠ ɲ̟ d͡ʑ ĩ ɴ
さきおととし	i sː a̠ k ɯ̟ᵝ s a̠ k ɯ̟ᵝ n ẽ̞ ɴ
いっさくじつ	i sː a̠ k ɯ̟ᵝ ʑ i t͡s ɨᵝ
いたいたしい	i t a̠ i t a̠ ɕ iː
いたずらずき	i t a̠ z ɨᵝ ɾ a̠ z ɨᵝ kʲ i
いちゃいちゃ	i t͡ɕ a̠ i t͡ɕ a̠
いちばんぼし	i t͡ɕ i b ã̠ m b o̞ ɕ i
いちいんせい	i t͡ɕ i ĩ ɰ̃ s e̞ː
いちるいしゅ	i t͡ɕ i ɾ ɯ̟ᵝ i ɕ ɨᵝ
いちりんしゃ	i t͡ɕ i ɾʲ ĩ ɰ̃ ɕ a̠
いしかわけん	i ɕ i k a̠ ɰᵝ a̠ k ẽ̞ ɴ
いろあざやか	i ɾ o̞ a̠ z a̠ j a̠ k a̠
いろえんぴつ	i ɾ o̞ ẽ̞ m pʲ i̥ t͡s ɨᵝ
いしょくしゅ	i ɕ o̞ k ɯ̟ᵝ ɕ ɨᵝ
いろとりどり	i ɾ o̞ t o̞ ɾʲ i d o̞ ɾʲ i
いろしゅうさ	i ɾ o̞ ɕ ɨᵝː s a̠
いじゅうしゃ	i ʑ ɨᵝː ɕ a̠
いわしくじら	i ɰᵝ a̠ ɕ i̥ k ɯ̟ᵝ ʑ i ɾ a̠
いんとうおん	ĩ n t o̞ː õ̞ ɴ
いいそびれる	iː s o̞ bʲ i ɾ e̞ ɾ ɯ̟ᵝ
いんげんまめ	ĩ ŋ ɡ ẽ̞ mː a̠ m e̞
やまとことば	j a̠ m a̠ t o̞ k o̞ t o̞ b a̠
やまがたけん	j a̠ m a̠ ɡ a̠ t a̠ k ẽ̞ ɴ
やまぐちけん	j a̠ m a̠ ɡ ɯ̟ᵝ t͡ɕ i k ẽ̞ ɴ
やのあさって	j a̠ n o̞ a̠ s a̠ t̚ t e̞
やそうきょく	j a̠ s o̞ː kʲ o̞ k ɯ̟ᵝ
やつめうなぎ	j a̠ t͡s ɨᵝ m e̞ ɯ̟ᵝ n a̠ ɡʲ i
よいつぶれる	j o̞ i t͡s ɨᵝ b ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
よろこばしい	j o̞ ɾ o̞ k o̞ b a̠ ɕ i i
よじょうはん	j o̞ ʑ o̞ː h ã̠ ɴ
ようじんぼう	j o̞ː ʑ ĩ m b o̞ː
ようろうせき	j o̞ː ɾ o̞ː s e̞ kʲ i
ゆいいつむに	j ɯ̟ᵝ i i t͡s ɨᵝ m ɯ̟ᵝ ɲ̟ i
ゆきげしょう	j ɯ̟ᵝ kʲ i ɡ e̞ ɕ o̞ː
ゆうぼくみん	j ɯ̟ᵝː b o̞ k ɯ̟ᵝ mʲ ĩ ɴ
ゆうびんばこ	j ɯ̟ᵝː bʲ ĩ m b a̠ k o̞
ゆうびんうけ	j ɯ̟ᵝː bʲ ĩ ɰ̃ ɯ̟ᵝ k e̞
ゆうでんたい	j ɯ̟ᵝː d ẽ̞ n t a̠ i
ゆうどうだん	j ɯ̟ᵝː d o̞ː d ã̠ ɴ
ゆうえつかん	j ɯ̟ᵝː e̞ t͡s ɨ̥ᵝ k ã̠ ɴ
ゆうかいはん	j ɯ̟ᵝː k a̠ i h ã̠ ɴ
ゆうけんしゃ	j ɯ̟ᵝː k ẽ̞ ɰ̃ ɕ a̠
ゆうこうてき	j ɯ̟ᵝː k o̞ː t e̞ kʲ i
ゆうめいじん	j ɯ̟ᵝː m e̞ː ʑ ĩ ɴ
ゆうせんせき	j ɯ̟ᵝː s ẽ̞ ɰ̃ s e̞ kʲ i
ゆうそくよみ	j ɯ̟ᵝː s o̞ k ɯ̟ᵝ j o̞ mʲ i
ゆうげきしゅ	j ɯ̟ᵝː ɡ e̞ kʲ i̥ ɕ ɨᵝ
ゆうれいぐも	j ɯ̟ᵝː ɾ e̞ː ɡ ɯ̟ᵝ m o̞
ゆうれんせき	j ɯ̟ᵝː ɾ ẽ̞ ɰ̃ s e̞ kʲ i
ゆうしんろん	j ɯ̟ᵝː ɕ ĩ n ɾ õ̞ ɴ
かぶきちょう	k a̠ b ɯ̟ᵝ kʲ i t͡ɕ o̞ː
かぶとあわせ	k a̠ b ɯ̟ᵝ t o̞ a̠ ɰᵝ a̠ s e̞
かびんしょう	k a̠ bʲ ĩ ɰ̃ ɕ o̞ː
かいぼうがく	k a̠ i b o̞ː ɡ a̠ k ɯ̟ᵝ
かいぶんしょ	k a̠ i b ɯ̟̃ᵝ ɰ̃ ɕ o̞
かいかいしき	k a̠ i k a̠ i ɕ i̥ kʲ i
かいきょうと	k a̠ i kʲ o̞ː t o̞
かいさつぐち	k a̠ i s a̠ t͡s ɨᵝ ɡ ɯ̟ᵝ t͡ɕ i
かいせきがく	k a̠ i s e̞ kʲ i ɡ a̠ k ɯ̟ᵝ
かいそうろく	k a̠ i s o̞ː ɾ o̞ k ɯ̟ᵝ
かいすうけん	k a̠ i s ɨᵝː k ẽ̞ ɴ
かいたくしゃ	k a̠ i t a̠ k ɯ̟ᵝ ɕ a̠
かいぞえにん	k a̠ i z o̞ e̞ ɲ̟ ĩ ɴ
かいぞくばん	k a̠ i z o̞ k ɯ̟ᵝ b ã̠ ɴ
かいぞくせん	k a̠ i z o̞ k ɯ̟ᵝ s ẽ̞ ɴ
かいがんせん	k a̠ i ɡ ã̠ ɰ̃ s ẽ̞ ɴ
かいれんせき	k a̠ i ɾ ẽ̞ ɰ̃ s e̞ kʲ i
かいしょたい	k a̠ i ɕ o̞ t a̠ i
かいりくぐん	k a̠ i ɾʲ i k ɯ̟ᵝ ɡ ɯ̟̃ᵝ ɴ
かやつりぐさ	k a̠ j a̠ t͡s ɨᵝ ɾʲ i ɡ ɯ̟ᵝ s a̠
かかりじょし	k a̠ k a̠ ɾʲ i ʑ o̞ ɕ i
かかあでんか	k a̠ k a̠ː d ẽ̞ ŋ k a̠
かくだんとう	k a̠ k ɯ̟ᵝ d ã̠ n t o̞ː
かくはんのう	k a̠ k ɯ̟ᵝ h ã̠ nː o̞ː
かくほうめん	k a̠ k ɯ̟ᵝ h o̞ː m ẽ̞ ɴ
かくれあそび	k a̠ k ɯ̟ᵝ ɾ e̞ a̠ s o̞ bʲ i
かくれんぼう	k a̠ k ɯ̟ᵝ ɾ ẽ̞ m b o̞ː
かくりつろん	k a̠ k ɯ̟ᵝ ɾʲ i t͡s ɨᵝ ɾ õ̞ ɴ
かきゅうてき	k a̠ kʲ ɨᵝː t e̞ kʲ i
かまびすしい	k a̠ m a̠ bʲ i s ɨᵝ ɕ i i
かみひこうき	k a̠ mʲ i ç i̥ k o̞ː kʲ i
かみなりぐも	k a̠ mʲ i n a̠ ɾʲ i ɡ ɯ̟ᵝ m o̞
かみがやつり	k a̠ mʲ i ɡ a̠ j a̠ t͡s ɨᵝ ɾʲ i
かながわけん	k a̠ n a̠ ɡ a̠ ɰᵝ a̠ k ẽ̞ ɴ
かさんかぶつ	k a̠ s ã̠ ŋ k a̠ b ɯ̟ᵝ t͡s ɨᵝ
かっせいたん	k a̠ sː e̞ː t ã̠ ɴ
かたちづくる	k a̠ t a̠ t͡ɕ i z ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ
かつやくきん	k a̠ t͡s ɨᵝ j a̠ k ɯ̟̊ᵝ kʲ ĩ ɴ
かつようけい	k a̠ t͡s ɨᵝ j o̞ː k e̞ː
からくれない	k a̠ ɾ a̠ k ɯ̟ᵝ ɾ e̞ n a̠ i
かがりびそう	k a̠ ɡ a̠ ɾʲ i bʲ i s o̞ː
かれいしゅう	k a̠ ɾ e̞ː ɕ ɨᵝː
かんむりわし	k ã̠ mː ɯ̟ᵝ ɾʲ i ɰᵝ a̠ ɕ i
かんみりょう	k ã̠ mʲː i ɾʲ o̞ː
かんらんせき	k ã̠ n ɾ ã̠ ɰ̃ s e̞ kʲ i
かんらんしゃ	k ã̠ n ɾ ã̠ ɰ̃ ɕ a̠
かんりんいん	k ã̠ n ɾʲ ĩ ɰ̃ ĩ ɴ
かんこくじん	k ã̠ ŋ k o̞ k ɯ̟ᵝ ʑ ĩ ɴ
かんげんがく	k ã̠ ŋ ɡ ẽ̞ ŋ ɡ a̠ k ɯ̟ᵝ
かんいしょく	k ã̠ ɰ̃ i ɕ o̞ k ɯ̟ᵝ
かんようよみ	k ã̠ ɰ̃ j o̞ː j o̞ mʲ i
かんようおん	k ã̠ ɰ̃ j o̞ː õ̞ ɴ
かんさいべん	k ã̠ ɰ̃ s a̠ i b ẽ̞ ɴ
かんさいぼう	k ã̠ ɰ̃ s a̠ i b o̞ː
かんさいじん	k ã̠ ɰ̃ s a̠ i ʑ ĩ ɴ
かんせつえん	k ã̠ ɰ̃ s e̞ t͡s ɨᵝ ẽ̞ ɴ
かんせいひん	k ã̠ ɰ̃ s e̞ː ç ĩ ɴ
かんせいけい	k ã̠ ɰ̃ s e̞ː k e̞ː
かんせいとう	k ã̠ ɰ̃ s e̞ː t o̞ː
かんそくしゃ	k ã̠ ɰ̃ s o̞ k ɯ̟ᵝ ɕ a̠
かんしつけい	k ã̠ ɰ̃ ɕ i t͡s ɨᵝ k e̞ː
けっせいがく	k e̞ sː e̞ː ɡ a̠ k ɯ̟ᵝ
けつあつけい	k e̞ t͡s ɨᵝ a̠ t͡s ɨᵝ k e̞ː
けつえきがた	k e̞ t͡s ɨᵝ e̞ kʲ i ɡ a̠ t a̠
けしょうしつ	k e̞ ɕ o̞ː ɕ i t͡s ɨᵝ
けいばじょう	k e̞ː b a̠ ʑ o̞ː
けいはんざい	k e̞ː h ã̠ n d͡z a̠ i
けいやくしょ	k e̞ː j a̠ k ɯ̟ᵝ ɕ o̞
けいかいかん	k e̞ː k a̠ i k ã̠ ɴ
けいかんざん	k e̞ː k ã̠ n d͡z ã̠ ɴ
けんぶつにん	k ẽ̞ m b ɯ̟ᵝ t͡s ɨᵝ ɲ̟ ĩ ɴ
けんびきょう	k ẽ̞ m bʲ i kʲ o̞ː
けんもほろろ	k ẽ̞ mː o̞ h o̞ ɾ o̞ ɾ o̞
けいさつかん	k e̞ː s a̠ t͡s ɨᵝ k ã̠ ɴ
けいたいろん	k e̞ː t a̠ i ɾ õ̞ ɴ
けいざいてき	k e̞ː z a̠ i t e̞ kʲ i
けいざいがく	k e̞ː z a̠ i ɡ a̠ k ɯ̟ᵝ
けいしちょう	k e̞ː ɕ i t͡ɕ o̞ː
けんえつかん	k ẽ̞ ɰ̃ e̞ t͡s ɨᵝ k ã̠ ɴ
けんようすい	k ẽ̞ ɰ̃ j o̞ː s ɨᵝ i
けんせきうん	k ẽ̞ ɰ̃ s e̞ kʲ i ɯ̟̃ᵝ ɴ
けんそううん	k ẽ̞ ɰ̃ s o̞ː ɯ̟̃ᵝ ɴ
けんしんてき	k ẽ̞ ɰ̃ ɕ ĩ n t e̞ kʲ i
けんぎゅうか	k ẽ̞ ŋʲ ɡʲ ɨᵝː k a̠
けいりゅうし	k e̞ː ɾʲ ɨᵝː ɕ i
こいこがれる	k o̞ i k o̞ ɡ a̠ ɾ e̞ ɾ ɯ̟ᵝ
こくはつしゃ	k o̞ k ɯ̟ᵝ h a̠ t͡s ɨᵝ ɕ a̠
こくないほう	k o̞ k ɯ̟ᵝ n a̠ i h o̞ː
こくさいてき	k o̞ k ɯ̟̊ᵝ s a̠ i t e̞ kʲ i
こうないおん	k oː n a i o n
こうおつてん	k oː o t s u t e ɴ
こっぱみじん	k o̞ p̚ p a̠ mʲ i ʑ ĩ ɴ
こっそうがく	k o̞ sː o̞ː ɡ a̠ k ɯ̟ᵝ
こていちょう	k o̞ t e̞ː t͡ɕ o̞ː
ことさらめく	k o̞ t o̞ s a̠ ɾ a̠ m e̞ k ɯ̟ᵝ
こっとうひん	k o̞ t̚ t o̞ː ç ĩ ɴ
こちょうせん	k o̞ t͡ɕ o̞ː s ẽ̞ ɴ
こうぶつがく	k o̞ː b ɯ̟ᵝ t͡s ɨᵝ ɡ a̠ k ɯ̟ᵝ
こうはつしゃ	k o̞ː h a̠ t͡s ɨᵝ ɕ a̠
こうかきょう	k o̞ː k a̠ kʲ o̞ː
こうけっとう	k o̞ː k e̞ t̚ t o̞ː
こうけつあつ	k o̞ː k e̞ t͡s ɨᵝ a̠ t͡s ɨᵝ
こうけんにん	k o̞ː k ẽ̞ ɲ̟ ɲ̟ ĩ ɴ
こうこつぶん	k o̞ː k o̞ t͡s ɨᵝ b ɯ̟̃ᵝ ɴ
こうくうびん	k o̞ː k ɯ̟ᵝː bʲ ĩ ɴ
こうもりがさ	k o̞ː m o̞ ɾʲ i ɡ a̠ s a̠
こうもうじん	k o̞ː m o̞ː ʑ ĩ ɴ
こうみんけん	k o̞ː mʲ ĩ ŋ k ẽ̞ ɴ
こうおつへい	k o̞ː o̞ t͡s ɨᵝ h e̞ː
こうせきうん	k o̞ː s e̞ kʲ i ɯ̟̃ᵝ ɴ
こうせっこう	k o̞ː s e̞ k̚ k o̞ː
こうせいねん	k o̞ː s e̞ː n ẽ̞ ɴ
こうせいざい	k o̞ː s e̞ː z a̠ i
こうそううん	k o̞ː s o̞ː ɯ̟̃ᵝ ɴ
こうていてき	k o̞ː t e̞ː t e̞ kʲ i
こうとうしょ	k o̞ː t o̞ː ɕ o̞
こうちゃくご	k o̞ː t͡ɕ a̠ k ɯ̟ᵝ ɡ o̞
こうがいすい	k o̞ː ɡ a̠ i s ɨᵝ i
こうげいひん	k o̞ː ɡ e̞ː ç ĩ ɴ
こうしんこく	k o̞ː ɕ ĩ ŋ k o̞ k ɯ̟ᵝ
こうしんえつ	k o̞ː ɕ ĩ ɰ̃ e̞ t͡s ɨᵝ
こんこうりん	k õ̞ ŋ k o̞ː ɾʲ ĩ ɴ
こうごうせい	k o̞ː ɡ o̞ː s e̞ː
こんごうせき	k õ̞ ŋ ɡ o̞ː s e̞ kʲ i
こんごうづえ	k õ̞ ŋ ɡ o̞ː z ɨᵝ e̞
こうりんせつ	k o̞ː ɾʲ ĩ ɰ̃ s e̞ t͡s ɨᵝ
こんやくしゃ	k õ̞ ɰ̃ j a̠ k ɯ̟̊ᵝ ɕ a̠
こううつざい	k o̞ː ɯ̟ᵝ t͡s ɨᵝ z a̠ i
くびじっけん	k ɯ̟ᵝ bʲ i ʑ i k̚ k ẽ̞ ɴ
くどきおとす	k ɯ̟ᵝ d o̞ kʲ i o̞ t o̞ s ɨᵝ
くへんとうゆ	k ɯ̟ᵝ h ẽ̞ n t o̞ː j ɯ̟ᵝ
くっきょくい	k ɯ̟ᵝ k̚ʲ kʲ o̞ k ɯ̟ᵝ i
くすぐったい	k ɯ̟ᵝ s ɨᵝ ɡ ɯ̟ᵝ t̚ t a̠ i
くじゃくせき	k ɯ̟ᵝ ʑ a̠ k ɯ̟ᵝ s e̞ kʲ i
くろごけぐも	k ɯ̟ᵝ ɾ o̞ ɡ o̞ k e̞ ɡ ɯ̟ᵝ m o̞
くろうたどり	k ɯ̟ᵝ ɾ o̞ ɯ̟ᵝ t a̠ d o̞ ɾʲ i
きゅうじゅう	k ɯ̟ᵝ ʑ ɨᵝː
くわがたむし	k ɯ̟ᵝ ɰᵝ a̠ ɡ a̠ t a̠ m ɯ̟ᵝ ɕ i
くっせつりつ	k ɯ̟̊ᵝ sː e̞ t͡s ɨᵝ ɾʲ i t͡s ɨᵝ
くつしたどめ	k ɯ̟̊ᵝ t͡s ɨᵝ ɕ i̥ t a̠ d o̞ m e̞
くんかくんか	k ɯ̟̃ᵝ ŋ k a̠ k ɯ̟̃ᵝ ŋ k a̠
くんしゅせい	k ɯ̟̃ᵝ ɰ̃ ɕ ɨ̥ᵝ s e̞ː
きゃくほんか	kʲ a̠ k ɯ̟ᵝ h õ̞ ŋ k a̠
きどあいらく	kʲ i d o̞ a̠ i ɾ a̠ k ɯ̟ᵝ
きくのせっく	kʲ i k ɯ̟ᵝ n o̞ s e̞ k̚ k ɯ̟ᵝ
きむずかしい	kʲ i m ɯ̟ᵝ z ɨᵝ k a̠ ɕ iː
きぬげねずみ	kʲ i n ɯ̟ᵝ ɡ e̞ n e̞ z ɨᵝ mʲ i
きおうしょう	kʲ i o̞ː ɕ o̞ː
きせいちゅう	kʲ i s e̞ː t͡ɕ ɨᵝː
きたいはずれ	kʲ i t a̠ i h a̠ z ɨᵝ ɾ e̞
きかんしえん	kʲ i̥ k ã̠ ɰ̃ ɕ i ẽ̞ ɴ
きんもくせい	kʲ ĩ mː o̞ k ɯ̟ᵝ s e̞ː
きんぞくおん	kʲ ĩ n d͡z o̞ k ɯ̟ᵝ õ̞ ɴ
きちょうめん	kʲ i̥ t͡ɕ o̞ː m ẽ̞ ɴ
きしょうがく	kʲ i̥ ɕ o̞ː ɡ a̠ k ɯ̟ᵝ
きんじえない	kʲ ĩ ɲ̟ d͡ʑ i e̞ n a̠ i
きんしじゃく	kʲ ĩ ɰ̃ ɕ i ʑ a̠ k ɯ̟ᵝ
きんぎょばち	kʲ ĩ ŋʲ ɡʲ o̞ b a̠ t͡ɕ i
きょくせんび	kʲ o̞ k ɯ̟ᵝ s ẽ̞ m bʲ i
きょたんやく	kʲ o̞ t ã̠ ɰ̃ j a̠ k ɯ̟ᵝ
きょりゅうち	kʲ o̞ ɾʲ ɨᵝː t͡ɕ i
きょうことば	kʲ o̞ː k o̞ t o̞ b a̠
きょうちょう	kʲ o̞ː t͡ɕ o̞ː
きょうしょう	kʲ o̞ː ɕ o̞ː
きょうじょう	kʲ o̞ː ʑ o̞ː
きょうわこく	kʲ o̞ː ɰᵝ a̠ k o̞ k ɯ̟ᵝ
きょうぎかい	kʲ o̞ː ɡʲ i k a̠ i
きょうりょう	kʲ o̞ː ɾʲ o̞ː
きょうりゅう	kʲ o̞ː ɾʲ ɨᵝː
きゅうかくど	kʲ ɨᵝː k a̠ k ɯ̟ᵝ d o̞
きゅうかざん	kʲ ɨᵝː k a̠ z ã̠ ɴ
きゅうけつき	kʲ ɨᵝː k e̞ t͡s ɨ̥ᵝ kʲ i
きゅうこうか	kʲ ɨᵝː k o̞ː k a̠
きゅうきょく	kʲ ɨᵝː kʲ o̞ k ɯ̟ᵝ
きゅうきょう	kʲ ɨᵝː kʲ o̞ː
きゅうごはん	kʲ ɨᵝː ɡ o̞ h ã̠ ɴ
きゅうしょく	kʲ ɨᵝː ɕ o̞ k ɯ̟ᵝ
きゅうしょう	kʲ ɨᵝː ɕ o̞ː
きゅうしゅう	kʲ ɨᵝː ɕ ɨᵝː
きゅうふきん	kʲ ɨᵝː ɸ ɯ̟ᵝ kʲ ĩ ɴ
きゅうりょう	kʲ ɨᵝː ɾʲ o̞ː
まほうつかい	m a̠ h o̞ː t͡s ɨ̥ᵝ k a̠ i
まかつきゅう	m a̠ k a̠ t͡s ɨ̥ᵝ kʲ ɨᵝː
まっかんがに	m a̠ k̚ k ã̠ ŋ ɡ a̠ ɲ̟ i
ますらおぶり	m a̠ s ɨᵝ ɾ a̠ o̞ b ɯ̟ᵝ ɾʲ i
まちあいしつ	m a̠ t͡ɕ i a̠ i ɕ i t͡s ɨᵝ
まちかまえる	m a̠ t͡ɕ i k a̠ m a̠ e̞ ɾ ɯ̟ᵝ
まがまがしい	m a̠ ɡ a̠ m a̠ ɡ a̠ ɕ iː
ましょうめん	m a̠ ɕ o̞ː m ẽ̞ ɴ
まぐれあたり	m a̠ ɡ ɯ̟ᵝ ɾ e̞ a̠ t a̠ ɾʲ i
まわりあわせ	m a̠ ɰᵝ a̠ ɾʲ i a̠ ɰᵝ a̠ s e̞
まんねんひつ	m ã̠ nː ẽ̞ ɰ̃ ç i̥ t͡s ɨᵝ
まんねんふで	m ã̠ nː ẽ̞ ɰ̃ ç i̥ t͡s ɨᵝ
まあたらしい	m a̠ː t a̠ ɾ a̠ ɕ iː
まんげきょう	m ã̠ ŋ ɡ e̞ kʲ o̞ː
まんじともえ	m ã̠ ɲ̟ d͡ʑ i t o̞ m o̞ e̞
まんようがな	m ã̠ ɰ̃ j o̞ː ɡ a̠ n a̠
まんしゅうご	m ã̠ ɰ̃ ɕ ɨᵝː ɡ o̞
めぐりあわせ	m e̞ ɡ ɯ̟ᵝ ɾʲ i a̠ ɰᵝ a̠ s e̞
めいめいほう	m e̞ː m e̞ː h o̞ː
めいおうせい	m e̞ː o̞ː s e̞ː
めんえきがく	m ẽ̞ ɰ̃ e̞ kʲ i ɡ a̠ k ɯ̟ᵝ
めんえきけい	m ẽ̞ ɰ̃ e̞ kʲ i̥ k e̞ː
めんふくろう	m ẽ̞ ɰ̃ ɸ ɯ̟̊ᵝ k ɯ̟ᵝ ɾ o̞ː
もくてきろん	m o̞ k ɯ̟ᵝ t e̞ kʲ i ɾ õ̞ ɴ
ものみだかい	m o̞ n o̞ mʲ i d a̠ k a̠ i
もうきんるい	m o̞ː kʲ ĩ n ɾ ɯ̟ᵝ i
もうのうえん	m o̞ː n o̞ː ẽ̞ ɴ
むいしきてき	m ɯ̟ᵝ i ɕ i kʲ i t e̞ kʲ i
むかしばなし	m ɯ̟ᵝ k a̠ ɕ i b a̠ n a̠ ɕ i
むさいしょく	m ɯ̟ᵝ s a̠ i ɕ o̞ k ɯ̟ᵝ
むせんきょく	m ɯ̟ᵝ s ẽ̞ ŋʲ kʲ o̞ k ɯ̟ᵝ
むすめごころ	m ɯ̟ᵝ s ɨᵝ m e̞ ɡ o̞ k o̞ ɾ o̞
むらさきいろ	m ɯ̟ᵝ ɾ a̠ s a̠ kʲ i i ɾ o̞
むじょうけん	m ɯ̟ᵝ ʑ o̞ː k ẽ̞ ɴ
むごんでんわ	m ɯ̟ᵝ ɡ õ̞ n d ẽ̞ ɰ̃ ɰᵝ a̠
むごんしょう	m ɯ̟ᵝ ɡ õ̞ ɰ̃ ɕ o̞ː
みやざきけん	mʲ i j a̠ z a̠ kʲ i k ẽ̞ ɴ
みくだりはん	mʲ i k ɯ̟ᵝ d a̠ ɾʲ i h ã̠ ɴ
みまちがえる	mʲ i m a̠ t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
みみずとかげ	mʲ i mʲ i z ɨᵝ t o̞ k a̠ ɡ e̞
みたましずめ	mʲ i t a̠ m a̠ ɕ i z ɨᵝ m e̞
みつくりざめ	mʲ i t͡s ɨ̥ᵝ k ɯ̟ᵝ ɾʲ i z a̠ m e̞
